Name,URL,Tokenized,Stemmed
Adam Brody,https://www.imdb.com/name/nm0111013/,"['Adam', 'Brody']","['adam', 'brodi']"
Kris Kristofferson,https://www.imdb.com/name/nm0001434/,"['Kris', 'Kristofferson']","['kri', 'kristofferson']"
Maggie Smith,https://www.imdb.com/name/nm0001749/,"['Maggie', 'Smith']","['maggi', 'smith']"
Nicholas Alexander Chavez,https://www.imdb.com/name/nm12560173/,"['Nicholas', 'Alexander', 'Chavez']","['nichola', 'alexand', 'chavez']"
Justine Lupe,https://www.imdb.com/name/nm4419771/,"['Justine', 'Lupe']","['justin', 'lupe']"
Cooper Koch,https://www.imdb.com/name/nm2599408/,"['Cooper', 'Koch']","['cooper', 'koch']"
Ari Graynor,https://www.imdb.com/name/nm0310966/,"['Ari', 'Graynor']","['ari', 'graynor']"
Cristin Milioti,https://www.imdb.com/name/nm2129662/,"['Cristin', 'Milioti']","['cristin', 'milioti']"
Kristen Bell,https://www.imdb.com/name/nm0068338/,"['Kristen', 'Bell']","['kristen', 'bell']"
Margaret Qualley,https://www.imdb.com/name/nm4960279/,"['Margaret', 'Qualley']","['margaret', 'qualley']"
John Amos,https://www.imdb.com/name/nm0025309/,"['John', 'Amos']","['john', 'amo']"
Eve Hewson,https://www.imdb.com/name/nm2016723/,"['Eve', 'Hewson']","['eve', 'hewson']"
Jackie Tohn,https://www.imdb.com/name/nm0865626/,"['Jackie', 'Tohn']","['jacki', 'tohn']"
Monica Bellucci,https://www.imdb.com/name/nm0000899/,"['Monica', 'Bellucci']","['monica', 'bellucci']"
Colin Farrell,https://www.imdb.com/name/nm0268199/,"['Colin', 'Farrell']","['colin', 'farrel']"
Emma Corrin,https://www.imdb.com/name/nm10128408/,"['Emma', 'Corrin']","['emma', 'corrin']"
Sydney Sweeney,https://www.imdb.com/name/nm2858875/,"['Sydney', 'Sweeney']","['sydney', 'sweeney']"
Jean Smart,https://www.imdb.com/name/nm0005443/,"['Jean', 'Smart']","['jean', 'smart']"
Leslie Grossman,https://www.imdb.com/name/nm0343678/,"['Leslie', 'Grossman']","['lesli', 'grossman']"
John Ashton,https://www.imdb.com/name/nm0039226/,"['John', 'Ashton']","['john', 'ashton']"
Alicia Vikander,https://www.imdb.com/name/nm2539953/,"['Alicia', 'Vikander']","['alicia', 'vikand']"
Dallas Roberts,https://www.imdb.com/name/nm1316767/,"['Dallas', 'Roberts']","['dalla', 'robert']"
Joshua Jackson,https://www.imdb.com/name/nm0005045/,"['Joshua', 'Jackson']","['joshua', 'jackson']"
Javier Bardem,https://www.imdb.com/name/nm0000849/,"['Javier', 'Bardem']","['javier', 'bardem']"
Chloë Sevigny,https://www.imdb.com/name/nm0001721/,"['Chloë', 'Sevigny']","['chloë', 'sevigni']"
Ana de Armas,https://www.imdb.com/name/nm1869101/,"['Ana', 'de', 'Armas']","['ana', 'de', 'arma']"
Timothy Simons,https://www.imdb.com/name/nm3985937/,"['Timothy', 'Simons']","['timothi', 'simon']"
Aubrey Plaza,https://www.imdb.com/name/nm2201555/,"['Aubrey', 'Plaza']","['aubrey', 'plaza']"
Morfydd Clark,https://www.imdb.com/name/nm6077056/,"['Morfydd', 'Clark']","['morfydd', 'clark']"
Brad Pitt,https://www.imdb.com/name/nm0000093/,"['Brad', 'Pitt']","['brad', 'pitt']"
Francis Ford Coppola,https://www.imdb.com/name/nm0000338/,"['Francis', 'Ford', 'Coppola']","['franci', 'ford', 'coppola']"
Austin Abrams,https://www.imdb.com/name/nm3641002/,"['Austin', 'Abrams']","['austin', 'abram']"
Joaquin Phoenix,https://www.imdb.com/name/nm0001618/,"['Joaquin', 'Phoenix']","['joaquin', 'phoenix']"
Kathryn Hahn,https://www.imdb.com/name/nm1063517/,"['Kathryn', 'Hahn']","['kathryn', 'hahn']"
Brie Larson,https://www.imdb.com/name/nm0488953/,"['Brie', 'Larson']","['brie', 'larson']"
Sophie Turner,https://www.imdb.com/name/nm3849842/,"['Sophie', 'Turner']","['sophi', 'turner']"
Lewis Pullman,https://www.imdb.com/name/nm5730649/,"['Lewis', 'Pullman']","['lewi', 'pullman']"
Nicole Kidman,https://www.imdb.com/name/nm0000173/,"['Nicole', 'Kidman']","['nicol', 'kidman']"
Leighton Meester,https://www.imdb.com/name/nm1015262/,"['Leighton', 'Meester']","['leighton', 'meester']"
Erika Eleniak,https://www.imdb.com/name/nm0000143/,"['Erika', 'Eleniak']","['erika', 'eleniak']"
Arielle Kebbel,https://www.imdb.com/name/nm0444223/,"['Arielle', 'Kebbel']","['ariel', 'kebbel']"
Kaitlin Olson,https://www.imdb.com/name/nm0647698/,"['Kaitlin', 'Olson']","['kaitlin', 'olson']"
Zachary Levi,https://www.imdb.com/name/nm1157048/,"['Zachary', 'Levi']","['zachari', 'levi']"
Demi Moore,https://www.imdb.com/name/nm0000193/,"['Demi', 'Moore']","['demi', 'moor']"
Toby Stephens,https://www.imdb.com/name/nm0827170/,"['Toby', 'Stephens']","['tobi', 'stephen']"
Jenna Ortega,https://www.imdb.com/name/nm4911194/,"['Jenna', 'Ortega']","['jenna', 'ortega']"
Emily Arlook,https://www.imdb.com/name/nm1354288/,"['Emily', 'Arlook']","['emili', 'arlook']"
Dominique Dunne,https://www.imdb.com/name/nm0001161/,"['Dominique', 'Dunne']","['dominiqu', 'dunn']"
Ella Purnell,https://www.imdb.com/name/nm3480246/,"['Ella', 'Purnell']","['ella', 'purnel']"
Lady Gaga,https://www.imdb.com/name/nm3078932/,"['Lady', 'Gaga']","['ladi', 'gaga']"
Lacey Chabert,https://www.imdb.com/name/nm0000327/,"['Lacey', 'Chabert']","['lacey', 'chabert']"
Dafne Keen,https://www.imdb.com/name/nm6748436/,"['Dafne', 'Keen']","['dafn', 'keen']"
Shailene Woodley,https://www.imdb.com/name/nm0940362/,"['Shailene', 'Woodley']","['shailen', 'woodley']"
Mckenna Grace,https://www.imdb.com/name/nm5085683/,"['Mckenna', 'Grace']","['mckenna', 'grace']"
James McAvoy,https://www.imdb.com/name/nm0564215/,"['James', 'McAvoy']","['jame', 'mcavoy']"
Brianna Brown,https://www.imdb.com/name/nm0113158/,"['Brianna', 'Brown']","['brianna', 'brown']"
Charlie Vickers,https://www.imdb.com/name/nm8190914/,"['Charlie', 'Vickers']","['charli', 'vicker']"
Nathalie Emmanuel,https://www.imdb.com/name/nm2812026/,"['Nathalie', 'Emmanuel']","['nathali', 'emmanuel']"
Harris Dickinson,https://www.imdb.com/name/nm6170168/,"['Harris', 'Dickinson']","['harri', 'dickinson']"
Evan Peters,https://www.imdb.com/name/nm1404239/,"['Evan', 'Peters']","['evan', 'peter']"
Bella Ramsey,https://www.imdb.com/name/nm8165602/,"['Bella', 'Ramsey']","['bella', 'ramsey']"
Joey King,https://www.imdb.com/name/nm1428821/,"['Joey', 'King']","['joey', 'king']"
Meghann Fahy,https://www.imdb.com/name/nm3627601/,"['Meghann', 'Fahy']","['meghann', 'fahi']"
Makenzie Leigh,https://www.imdb.com/name/nm4689170/,"['Makenzie', 'Leigh']","['makenzi', 'leigh']"
Dakota Fanning,https://www.imdb.com/name/nm0266824/,"['Dakota', 'Fanning']","['dakota', 'fan']"
Camilla Belle,https://www.imdb.com/name/nm0004741/,"['Camilla', 'Belle']","['camilla', 'bell']"
Daniel Day-Lewis,https://www.imdb.com/name/nm0000358/,"['Daniel', 'Day-Lewis']","['daniel', 'day-lewi']"
Zazie Beetz,https://www.imdb.com/name/nm5939164/,"['Zazie', 'Beetz']","['zazi', 'beetz']"
Amy Ryan,https://www.imdb.com/name/nm0752407/,"['Amy', 'Ryan']","['ami', 'ryan']"
Dakota Johnson,https://www.imdb.com/name/nm0424848/,"['Dakota', 'Johnson']","['dakota', 'johnson']"
Isabelle Adjani,https://www.imdb.com/name/nm0000254/,"['Isabelle', 'Adjani']","['isabel', 'adjani']"
Brigitte Bardot,https://www.imdb.com/name/nm0000003/,"['Brigitte', 'Bardot']","['brigitt', 'bardot']"
Markella Kavenagh,https://www.imdb.com/name/nm9220161/,"['Markella', 'Kavenagh']","['markella', 'kavenagh']"
Alexandra Daddario,https://www.imdb.com/name/nm1275259/,"['Alexandra', 'Daddario']","['alexandra', 'daddario']"
Patti LuPone,https://www.imdb.com/name/nm0526985/,"['Patti', 'LuPone']","['patti', 'lupon']"
Carmen Ejogo,https://www.imdb.com/name/nm0252238/,"['Carmen', 'Ejogo']","['carmen', 'ejogo']"
Lena Headey,https://www.imdb.com/name/nm0372176/,"['Lena', 'Headey']","['lena', 'headey']"
Florence Pugh,https://www.imdb.com/name/nm6073955/,"['Florence', 'Pugh']","['florenc', 'pugh']"
Tatiana Zappardino,https://www.imdb.com/name/nm7508235/,"['Tatiana', 'Zappardino']","['tatiana', 'zappardino']"
Tovah Feldshuh,https://www.imdb.com/name/nm0271165/,"['Tovah', 'Feldshuh']","['tovah', 'feldshuh']"
Alicia Silverstone,https://www.imdb.com/name/nm0000224/,"['Alicia', 'Silverstone']","['alicia', 'silverston']"
Mackenzie Davis,https://www.imdb.com/name/nm4496875/,"['Mackenzie', 'Davis']","['mackenzi', 'davi']"
Drake Hogestyn,https://www.imdb.com/name/nm0389693/,"['Drake', 'Hogestyn']","['drake', 'hogestyn']"
Liev Schreiber,https://www.imdb.com/name/nm0000630/,"['Liev', 'Schreiber']","['liev', 'schreiber']"
Rossif Sutherland,https://www.imdb.com/name/nm1160472/,"['Rossif', 'Sutherland']","['rossif', 'sutherland']"
Morena Baccarin,https://www.imdb.com/name/nm1072555/,"['Morena', 'Baccarin']","['morena', 'baccarin']"
Cailee Spaeny,https://www.imdb.com/name/nm8314228/,"['Cailee', 'Spaeny']","['caile', 'spaeni']"
Anna Sawai,https://www.imdb.com/name/nm3660091/,"['Anna', 'Sawai']","['anna', 'sawai']"
Frank Dillane,https://www.imdb.com/name/nm0226817/,"['Frank', 'Dillane']","['frank', 'dillan']"
Melissa Benoist,https://www.imdb.com/name/nm2552034/,"['Melissa', 'Benoist']","['melissa', 'benoist']"
George Clooney,https://www.imdb.com/name/nm0000123/,"['George', 'Clooney']","['georg', 'clooney']"
Robert De Niro,https://www.imdb.com/name/nm0000134/,"['Robert', 'De', 'Niro']","['robert', 'de', 'niro']"
Richard Harris,https://www.imdb.com/name/nm0001321/,"['Richard', 'Harris']","['richard', 'harri']"
AnnaSophia Robb,https://www.imdb.com/name/nm1455681/,"['AnnaSophia', 'Robb']","['annasophia', 'robb']"
Julia Garner,https://www.imdb.com/name/nm3400186/,"['Julia', 'Garner']","['julia', 'garner']"
Mira Sorvino,https://www.imdb.com/name/nm0000227/,"['Mira', 'Sorvino']","['mira', 'sorvino']"
Natalie Martinez,https://www.imdb.com/name/nm2358540/,"['Natalie', 'Martinez']","['natali', 'martinez']"
Maya Hawke,https://www.imdb.com/name/nm1638321/,"['Maya', 'Hawke']","['maya', 'hawk']"
Jessica Parker Kennedy,https://www.imdb.com/name/nm2498781/,"['Jessica', 'Parker', 'Kennedy']","['jessica', 'parker', 'kennedi']"
Gavin Creel,https://www.imdb.com/name/nm1342128/,"['Gavin', 'Creel']","['gavin', 'creel']"
